가게,store
문화재,Cultural Heritage
문화적,classic
묻다,ask
묻히다,smear
물,water
물가,price
물건,thing
물결,wave
물고기,fish
물기,bite
물다,bite
물러나다,step down
물론,of course
물리학,Physics
물속,underwater
물어보다,ask
물음,question
물질,matter
물질적,material
물체,object
뭐,what
뭘,what
뭣,What
미,mi
미국,USA
미끄러지다,slip
미끄럽다,slippery
미니,mini
미디어,media
미래,future
미루다,Postpone
미리,beforehand
미만,under
미사일,missile
미소,smile
미술,Art
미술관,Art gallery
미스,miss
미안하다,sorry
미역,Seaweed
미용실,Salon
미움,hate
미워하다,Hate
미인,Beauty
미처,Before I knew it
미치다,crazy
미터,Meter
미팅,Meeting
미혼,single
민간,private
민속,folklore
민족,people
민주,democracy
민주주의,democracy
민주화,democratization
믿다,trust
믿어지다,believe
믿음,trust
밀가루,flour
밀다,Push
밀리다,be left undone
밀리미터,millimeter
밀접하다,close
밉다,hate
및,and
밑,bottom
밑바닥,bottom
바,bar
바가지,overpriced
바구니,basket
바깥,outside
바깥쪽,outside
바꾸다,change
바뀌다,change
바나나,banana
바늘,needle
바다,ocean
바닥,floor
바닷가,Beach
바닷물,sea ​​water
바라다,hope
바라보다,Look at
바람,wind
바람직하다,desirable
바로,as soon as
바로잡다,Straighten
바르다,Cover
바보,fool
바쁘다,busy
바싹,Closely
바위,rock
바이러스,virus
바이올린,violin
바지,pants
바치다,devote
바퀴,wheel
바탕,background
박,Gourd
박다,drive
박물관,museum
박사,doctor
박수,clap
박스,box
박히다,enter
밖,outside
반,half
반갑다,nice to meet
반기다,welcome
반대,the opposite
반대편,the other side
반대하다,Oppose
반드시,certainly
반말,informal language
반면,On the other hand
반발,repulsion
반복되다,repeat
반복하다,repeat
반성,regret
반성하다,reflect
반영하다,Reflect
반응,reaction
반장,Class monitor
반죽,dough
반지,ring
반짝거리다,twinkle
반짝이다,sparkle
반찬,side dish
반하다,fall in love
받다,receive
받아들이다,accept
받침,support
발,foot
발가락,toes
발걸음,footfall
발견,discovery
발견되다,discovered
발견하다,Discover
발길,kick
발끝,tiptoe
발달,develop
발달되다,develop
발달하다,develop
발등,instep of a foot
발레,ballet
발목,Ankle
발바닥,sole
발생,generation
발생하다,to occur
발음,pronunciation
발음하다,pronounce
발자국,footprint
발전,Development
발전되다,develop
발전하다,develop
발톱,toenail
발표,presentation
발표되다,announced
발표하다,announce
발휘하다,exert
밝다,bright
밝아지다,become brighter
밝혀내다,uncover
밝혀지다,come to light
밝히다,clarify
밟다,to step on
밤,night
밤낮,night and day
밤늦다,It's late at night
밤새,Overnight
밤새다,all night long
밤새우다,stay up all night
밤색,brown
밤중,midnight
밤하늘,night sky
밥,rice
밥그릇,rice bowl
밥맛,Appetite
밥상,dining table
밥솥,rice cooker
방,room
방금,just now
방면,direction
방문,visit
방문하다,Visit
방바닥,floor
방법,method
방송,broadcast
방송국,Broadcast stations
방송사,broadcasting company
방송하다,broadcast
방식,method
방안,measures
방울,Bell
방지,Prevention
방지하다,prevent
방학,vacation
방해,Hindrance
방해하다,interrupt
방향,direction
밭,field
배,ship
배경,background
배고프다,hungry
배구,volleyball
배꼽,navel
배다,conceive
배달,delivery
배드민턴,Badminton
배부르다,full
배우,actor
배우다,learn
배우자,spouse
배추,napa cabbage
배추김치,Kimchi
배치,arrangement
백,hundred
백두산,Mountain Baekdu
백색,White
백성,the people
백인,White
백제,Baek jae
백화점,department store
뱀,snake
뱃사람,seafarer
뱉다,disgorge
버려지다,abandoned
버릇,Habit
버리다,throw away
버섯,mushroom
버스,bus
버터,butter
버튼,button
버티다,Withstand
번,th
번개,Lightning
번거롭다,Cumbersome
번역,translation
번역하다,Translate into
번지,address
번째,th
번호,number
벌,punishment
벌금,Fine
벌다,Earn
벌떡,Jump up
벌레,bug
벌리다,be profitable
벌써,already
벌어지다,open up
벌이다,punish
범위,range
범인,criminal
범죄,crime
법,law
법률,law
법원,court
법적,legal
법칙,Rule
벗기다,peel
벗다,take off
베개,pillow
베다,mow
베이징(북경),Beijing
벤치,Bench
벨트,belt
벼,rice
벽,wall
변경,change
변동,Variance
변명,excuse
변신,transform
변하다,change
변호사,lawyer
변화,change
변화되다,change
변화하다,change
별,star
별다르다,It's different
별도,Separately
별로,not really
별명,Nickname
별일,special day
병,party
병들다,get sick
병실,ward
병아리,chick
병원,hospital
보고,report
보고서,report
보고하다,Make a report
보관,keep
보관하다,store
보내다,let go
보내오다,send
보너스,bonus
보다,see
보도,sidewalk
보도되다,be reported
보도하다,report
보라색,purple
보람,Reward
보름,full moon
보리,barley
보살피다,take care of
보상,compensation
보수,repair
보수적,Conservative
보안,security
보완하다,Redeem
보이다,show
보자기,wrapper
보장,guarantee
보장되다,guaranteed
보장하다,Vouch
보전,integrity
보조,assistant
보존,preservation
보존하다,Preserve
보충하다,to make up
보통,commonly
보편적,universal
보험,insurance
보호,protect
보호되다,protected
보호하다,Protect
복,luck
복도,corridor
복사,copy
복사기,copy machine
복사하다,To copy
복숭아,peach
복습,review
복습하다,review
복잡하다,complicated
볶다,To fry
볶음,stir-fry
볶음밥,fried rice
본,copy
본격적,In earnest
본래,originally
본부,headquarters
본사,head office
본성,original nature
본인,me
본질,nature
볼,cheek
볼링,Bowling
볼일,errands
볼펜,pen
봄,spring
봉사,volunteer
봉사하다,serve
봉지,bag
봉투,envelope
뵈다,see
뵙다,meet
부,wealth
부근,vicinity
부끄러움,shame
부끄럽다,I'm embarrassed
부담,Burden
부담하다,burden
부대,army unit
부동산,real estate
부드럽다,soft
부딪치다,bump into
부딪히다,To get hit
부러워하다,envy
부러지다,break
부럽다,i envy you
부르다,call
부모,parents
부모님,parents
부문,sector
부부,married couple
부분,part time job
부분적,partially
부산,busan
부상,injury
부서,department
부서지다,break
부엌,kitchen
부위,part
부인,ma'am
부자,the rich
부작용,side effect
부잣집,rich family
부장,Director
부재,absence
부정,denial
부정적,negative
부정하다,unclean
부족,lack
부족하다,lack
부지런하다,diligent
부지런히,industriously
부채,fan
부처,Buddha
부치다,send
부친,father
부탁,ask
부탁하다,Beg
부품,part
부피,volume
부회장,vice-chairman
북,north
북부,northern
북쪽,North
북한,North Korea
분,minute
분노,anger
분량,amount
분리,separation
분리되다,separate
분리하다,Disunite
분명,For sure
분명하다,Obvious
분명해지다,become clear
분명히,clearly
분석,analyze
분석하다,Analyze
분야,Field
분위기,atmosphere
분주하다,busy
분포하다,distribute
분필,chalk
분홍색,pink
불,fire
불가능하다,impossible
불가피하다,it's inevitable
불고기,Bulgogi
불과,only
불과하다,It's just a little bit
불교,buddhism
불구하다,to be crippled
불꽃,flame
불다,blow
불러일으키다,evoke
불리다,be called
불리하다,disadvantageous
불만,dissatisfaction
불법,illegal
불빛,fire
불쌍하다,poor
불안,unrest
불안하다,Unstable
불어오다,blow
불완전하다,incomplete
불이익,disadvantage
불편,Inconvenience
불편하다,inconvenient
불평,complain
불평등하다,unequal
불필요하다,unnecessary
불행,Unhappiness
불행하다,unhappy
불확실하다,uncertain
붉다,red
붐비다,bustle
붓다,pour
붙다,pass
붙들다,arrest
붙이다,attach
붙잡다,seize
붙잡히다,get caught
브랜드,brand
블라우스,blouse
비,rain
비교,comparison
비교적,Comparative
비교하다,compare
비극,tragedy
비기다,compare to
비난,criticism
비누,soap
비닐,vinyl
비닐봉지,plastic bag
비다,be empty
비둘기,pigeon
비디오,video
비로소,for the first time
비롯되다,originate from
비롯하다,originate
비만,obesity
비명,scream
비밀,secret
비바람,rainstorm
비비다,rub
비빔밥,bibimbap
비상,emergency
비서,secretary
비슷하다,similar
비싸다,expensive
비용,expense
비우다,vacate
비웃다,Making fun of
비율,ratio
비중,importance
비추다,irradiate
비치다,hint
비키다,get out of the way
비타민,vitamin
비판,Criticism
비판적,critical
비판하다,criticize
비하다,compare
비행,flight
비행기,airplane
비행장,airfield
빌다,beg
빌딩,building
빌리다,borrow
빗,comb
빗물,rainwater
빗방울,raindrop
빗줄기,raindrops
빚,debt
빛,light
빛깔,color
빛나다,shine
빠뜨리다,leave out
빠르다,fast
빠져나가다,get out
빠져나오다,get out
빠지다,fall
빨간색,Red
빨갛다,It's red
빨다,suck
빨래,Wash
빨리,hurry
빵,bread
빼놓다,leave out
빼다,remove
빼앗기다,be taken away
빼앗다,Steal
뺏다,take away
뺨,cheek
뻔하다,obvious
뻗다,stretch
뼈,bone
뽑다,select
뽑히다,be chosen
뿌리,root
뿌리다,spread
뿌리치다,shake off
뿐,only
사,buy
사건,Event
사계절,four Seasons
사고,accident
사과,apologize
사과하다,apologize
사귀다,make friends with
사기,fraud
사나이,man
사냥,hunt
사다,buy
사들이다,buy
사라지다,disappear
사람,person
사랑,love
사랑스럽다,lovely
사랑하다,Love
사례,example
사립,private
사망,Dead
사망하다,die
사모님,Mrs
사무,Affairs
사무소,office
사무실,office
사무직,office job
사물,objects
사방,everywhere
사상,thought
사생활,privacy
사설,editorial
사소하다,trivial
사슴,deer
사실,actually
사실상,virtually
사십,Fourty
사업,business
사업가,Entrepreneur
사업자,buisnessman
사용,use
사용되다,be used
사용자,user
사용하다,use
사원,employee
사월,April
사위,son-in-law
사이,between
사이사이,Between
사이좋다,We get along well
사자,lion
사장,CEO
사전,dictionary
사전22,Dictionary 22
사정,circumstances
사진,picture
사진기,camera
사촌,cousin
사춘기,puberty
사탕,candy
사투리,dialect
사표,resignation letter
사회,society
사회생활,Social Life
사회자,moderator
사회적,social
사회주의,socialism
사회학,sociology
사흘,three days
산,mountain
산길,mountain path
산부인과,Obstetrics and gynecology
산소,Oxygen
산속,in the mountains
산업,industry
산책,walk
살,fat
살다,live
살리다,save
살림,livelihood
살아가다,live
살아나다,come alive
살아남다,survive
살아오다,live
살인,Murder
살짝,a little
살펴보다,take a look
살피다,watch
삶,life
삶다,Boil
삼,three
삼가다,forbear
삼계탕,Samgyetang
삼국,Three Kingdoms
삼다,make
삼십,thirty
삼월,March
삼촌,uncle
삼키다,gulp down
상,award
상23,23
상25,25
상관,relation
상관없다,Does not matter
상관없이,Regardless of
상금,reward
상담,consulting
상당,equivalent
상당수,quite a few
상당하다,considerable
상당히,Pretty
상대,opponent
상대방,opponent
상대성,relativity
상대적,relative
상대편,the other side
상류,upstream
상반기,the first half
상상,Imagination
상상력,imagination
상상하다,Imagine
상식,Common sense
상업,Commerce
상인,merchant
상자,Box
상점,shop
상징적,symbolic
상징하다,symbolizes
상처,wound
상추,Lettuce
상쾌하다,refreshing
상태,situation
상표,brand
상품,Goods
상하다,rot
상황,situation
새,bird
새기다,carve
새끼,young
새다,leak
새로,New
새로이,freshly
새롭다,new
새벽,dawn
새소리,birdsong
새우,shrimp
새우다,shrimp
새해,new year
색,color
색깔,Color
색다르다,It's different
색연필,color pencil
샌드위치,sandwich
생,raw
생각,thought
생각나다,come to mind
생각되다,think
생각하다,Think
생겨나다,arise
생기,Vigor
생기다,to happen
생명,life
생물,Biology
생방송,live broadcast
생산,production
생산되다,produced
생산력,productivity
생산자,producer
생산하다,Produce
생선,fish
생신,birthday
생일,birthday
생활,life
생활비,living expenses
생활수준,standard of living
생활용품,Household goods
생활하다,live
생활환경,living environment
샤워,shower
서구,Western
서너,three or four
서늘하다,cool
서다,stand
서두르다,hurry
서랍,a drawer
서로,each other
서류,document
서른,thirty
서명,signature
서명하다,sign
서민,people
서부,western
서비스,service
서서히,slowly
서양,Western
서양인,Occidental
서울,seoul
서울역,Seoul Station
서적,books
서점,bookstore
서쪽,West
서클,circle
서투르다,clumsy
서툴다,clumsy
석,three
석사,master
석유,oil
섞다,combine
섞이다,be mixed
선,line
선거,election
선명하다,clear
선물,gift
선물하다,present
선배,senior
선생,teacher
선생님,teacher
선수,player
선언하다,declare
선원,sailor
선장,Captain
선전,propaganda
선정하다,select
선진,advanced
선진국,Developed countries
선택,select
선택하다,Choose
선풍기,fan
선호하다,prefer
설거지,dish wash
설날,new year
설득하다,persuade
설렁탕,Sullungtang
설립하다,establish
설명,explanation
설명되다,explain
설명하다,explain
설문,survey
설사,diarrhea
설악산,Mt. Seolark
설치,installation
설치되다,be installed
설치하다,install
설탕,sugar
섬,island
섭섭하다,feel dissapointed
섭씨,Celsius
성,castle
성격,personality
성경,Bible
성공,success
성공적,successful
성공하다,Succeed
성당,Cathedral
성립되다,established
성립하다,establish
성명,name
성별,gender
성숙하다,mature
성실하다,sincere
성인,adult
성장,growth
성장하다,grow up
성적,sexual
성질,Property
성함,name
세,count
세계,world
세계관,world view
세계적,worldwide
세금,tax
세기,century
세다,count
세대,Generation
세련되다,sophisticated
세로,length
세미나,seminar
세상,world
세상에,oh my god
세수,wash face
세우다,set up
세워지다,erected
세월,time
세제,Detergent
세종대왕,King Sejong
세탁,laundry
세탁기,washing machine
세탁소,laundry
세트,set
섹시하다,Sexy
센터,center
센티미터,centimeter
셈,count
셋,three
셋째,third
소,cow
소개,introduction
소개되다,be introduced
소개하다,introduce
소규모,small scale
소극적,passive
소금,salt
소나기,shower
소나무,pine tree
소녀,girl
소년,boy
소득,income
소리,sound
소리치다,to yell
소망,hope
소매,Sleeve
소문,rumor
소문나다,be rumored
소박하다,simple
소비,Consumption
소비자,consumer
소비하다,spend
소설,novel
소설가,novelist
소속,belong
소수,decimal
소스,sauce
소시지,sausage
소식,News
소아과,Pediatrics
소요되다,take
소용,use
소용없다,no use
소원,wish
소위,ensign
소유,possession
소유자,owner
소유하다,own
소음,noise
소재,Material
소주,soju
소중하다,precious
소중히,cherish it
소지품,belongings
소질,diathesis
소파,Sofa
소포,package
소풍,picnic
소프트웨어,software
소형,small type
소홀히,neglected
소화,digestion
소화하다,digest
속,inside
속담,Proverb
속도,speed
속마음,inner thoughts
속삭이다,whisper
속상하다,upset
속옷,underwear
속이다,cheat
속하다,Belong
손,hand
손가락,finger
손길,touch
손녀,Granddaughter
손님,customer
손등,back of hand
손목,wrist
손바닥,Palm
손발,hands and feet
손뼉,Clap your hands
손수,handmade
손수건,handkerchief
손쉽다,Easy
손실,Loss
손자,grandson
손잡다,join hands
손잡이,handle
손질,trim
손질하다,trim
손톱,Fingernail
손해,loss
솔직하다,honest
솔직히,to be honest
솜,cotton
솜씨,workmanship
솟다,tower
송아지,calf
송이,cluster
송편,songpyeon
쇠,iron
쇠고기,beef
쇼,show
쇼핑,shopping
수,number
수26,Number 26
수건,Towel
수고,effort
수고하다,Keep the good work
수년,years
수단,method
수도,capital
수도권,Metropolitan area
수도꼭지,water tap
수돗물,tap water
수동적,passive
수리하다,Repair
수만,tens of thousands
수많다,There are countless
수면,Sleep
수명,life span
수박,watermelon
수백,hundreds
수상,Awards
수석,top
수술,surgery
수시로,frequently
수십,dozens
수업,class
수없이,countless times
수염,mustache
수영,swimming
수영장,swimming pool
수요,demand
수요일,wednesday
수입,income
수입되다,be imported
수입품,imported goods
수입하다,import
수저,spoon and chopsticks
수준,level
수집,collection
수집하다,collect
수천,thousands
수출,Export
수출하다,export
수컷,cock
수표,check
수필,essay
수학,math
수행하다,Conduct
수험생,test taker
수화기,receiver
숙녀,Lady
숙소,lodging
숙이다,bow down
숙제,homework
순간,Moment
순간적,momentary
순서,order
순수,pure
순수하다,pure
순식간,wink
순위,ranking
순진하다,naive
순하다,gentle
숟가락,Spoon
술,alcohol
술병,bottle
술자리,drinking party
술잔,glass
술집,bar
숨,breath
숨기다,hide
숨다,hide
숨지다,hide
숫자,number
숲,forest
쉬다,rest
쉰,hoarse
쉽다,easy
슈퍼마켓,supermarket
스님,monk
스무,twenty
스물,twenty
스스로,self
스승,teacher
스웨터,sweater
스위치,switch
스치다,lick
스케이트,skate
스케줄,schedule
스키,ski
스키장,ski resort
스타,star
스타일,style
스튜디오,studio
스트레스,stress
스포츠,sports
슬그머니,Secretly
슬쩍,swipe
슬퍼하다,be sad
슬프다,sad
슬픔,sadness
습관,habit
습기,humidity
승객,passenger
승리,Victory
승리하다,win
승부,victory
승용차,car
승진,promotion
시,city
시각,Time
시간,hour
시계,clock
시골,countryside
시금치,spinach
시기,period
시끄럽다,noisy
시나리오,scenario
시내,downtown
시내버스,city ​​bus
시대,era
시대적,period
시댁,in-laws
시도,trial
시도하다,Attempt
시들다,wither
시디,cd
시디롬,cd rom
시리즈,series
시멘트,cement
시민,citizen
시부모,parents-in-law
시선,Sight
시설,facility
시스템,system
시아버지,Father in law
시야,eyesight
시어머니,mother-in-law
시외,out of town
시외버스,intercity bus
시원하다,Cool
시월,October
시위,demonstration
시인,poet
시일,seal
시작,start
시작되다,begin
시작하다,start
시장,market
시절,days
시점,point of view
시중,city
시즌,season
시집,divan
시집가다,get married
시청,City Hall
시청률,rating
시청자,viewers
시키다,make someone do
시합,match
시험,test
식,ceremony
식구,family
식기,tableware
식다,cool down
식당,restaurant
식량,food
식료품,grocery
식물,plant
식빵,bread
식사,meal
식사하다,have a meal
식생활,diet
식욕,appetite
식용유,cooking oil
식초,vinegar
식탁,table
식품,food
식품점,grocery store
식히다,cool down
신,god
신경,nerve
신고,Declaration
신고하다,report
신규,new
신기하다,amazing
신념,belief
신다,put on
신라,Silla
신랑,groom
신문,newspaper
신문사,newspaper
신문지,newspaper
신발,shoes
신부,priest
신분,Identity
신비,Mystery
신사,Gentleman
신선하다,fresh
신설,newly open
신세,I owe you
신세대,new generation
신속하다,quick
신용,credit
신인,new man
신입생,freshman
신제품,new product
신중하다,Be careful
신청,application
신청서,application
신청하다,apply
신체,body
신체적,physical
신호,signal
신호등,Traffic Light
신혼부부,newly married couple
신혼여행,Honeymoon
신화,mythology
싣다,load
실,line
실감,Realistic
실내,inside
실력,skill
실례,excuse
실례하다,Excuse me
실로,Indeed
실리다,be loaded
실망,Disappointment
실망하다,It is disappointing
실수,mistake
실수하다,Make a mistake
실습,Training
실시,practice
실시되다,carry out
실시하다,Enforce
실은,actually
실장,head of a department
실정,actual circumstances
실제,real
실제로,actually
실질적,practical
실천,implement
실천하다,practice
실체,substance
실컷,To your heart's content
실태,reality
실패,failure
실패하다,fail
실험,Experiment
실현,present
실현되다,come true
실현하다,realize
싫다,hate
싫어지다,dislike
싫어하다,Dislike
심각하다,Serious
심각해지다,get serious
심다,plant
심리,trial
심리적,psychological
심부름,errand
심사,judge
심심하다,I'm bored
심장,heart
심정,feeling
심판,Referee
심하다,Severe
심해지다,get worse
십,ten
십이월,December
십일월,November
싱겁다,It's bland
싱싱하다,fresh
싶다,want
싶어지다,want to
싸구려,cheap
싸다,cheap
싸우다,fight
싸움,fight
싹,bud
싼값,cheap price
쌀,rice
쌍,pair
쌍둥이,Twins
쌓다,stack
쌓이다,To stack up
썩,So bad
썩다,rot
썰다,chaff
썰렁하다,It's dull
쏘다,shot
쏟다,pour out
쏟아지다,pour out
쓰다,write
쓰다듬다,stroke
쓰러지다,Fall down
쓰레기,trash
쓰레기통,trash can
쓰이다,serve
쓴맛,bitter
쓸다,sweep
쓸데없다,It's useless
쓸데없이,Uselessly
쓸쓸하다,I am lonely
씌우다,sheathe
씨,Seed
씨름,Wrestling
씨앗,seed
씩씩하다,brave
씹다,chew
씻기다,wash
씻다,wash
아,ah
아가씨,miss
아기,baby
아까,a moment ago
아깝다,what a waste
아끼다,grudge
아나운서,announcer
아내,wife
아냐,no
아뇨,no
아니,no
아니다,no
아니야,no
아니요,no
아니하다,No
아드님,son
아들,son
아래,under
아래쪽,down
아래층,Downstairs
아랫사람,subordinate
아르바이트,part time job
아름답다,beautiful
아마,maybe
아마도,maybe
아무,any
아무개,so-and-so
아무것,nothing
아무래도,I guess
아무런,nothing
아무렇다,It's okay
아무리,no matter how
아무튼,anyway
아버님,father
아버지,father
아빠,dad
아쉬움,regret
아쉽다,it's a shame
아스팔트,asphalt
아시아,Asia
아아,iced coffee
아예,At all
아울러,together
아유,Wow
아이,kid
아이고,oh my
아이디어,idea
아이스크림,ice cream
아저씨,mister
아주,very
아주머니,madam
아줌마,Madame
아직,yet
아침,morning
아파트,apartment
아프다,sick
아프리카,Africa
아픔,pain
아하,aha
아홉,nine
아흔,ninety
악기,instrument
악몽,nightmare
악수,handshake
안,not
안개,Fog
안경,glasses
안과,Ophthalmology
안기다,hug
안내,guide
안내하다,guide
안녕,hi
안녕하다,hello
안녕히,Bye
안다,know
안동,Andong
안되다,It doesn't work
안방,Inner room
안부,safety
안심하다,feel safe
안전,safety
안전하다,safe
안정,stability
안정되다,stabilize
안주,snack
안쪽,inside
안타깝다,Regretful
안팎,inside and outside
앉다,Sit
앉히다,sit
않다,not
알,egg
알다,know
알려지다,known
알루미늄,aluminum
알리다,inform
알맞다,fit
알아내다,to find out
알아듣다,understand
알아보다,Inquire
알아주다,recognize
알코올,Alcohol
앓다,be ill
암,cancer
암시,suggestion
암컷,female
압력,enter
앞,front
앞길,road ahead
앞날,future
앞두다,take the lead
앞뒤,Back and forth
앞문,front door
앞바다,offshore
앞서,previously
앞서다,precede
앞세우다,take the lead
앞장서다,take the lead
앞쪽,front
애,baby
애쓰다,whittle away
애인,lover
애정,Affection
애초,From the beginning
액세서리,accessory
액수,amount
앨범,album
야,hey
야간,Nighttime
야구,baseball
야구장,Baseball Stadium
야단,scold
야옹,Meow
야외,outdoor
야채,vegetable
야하다,It's sexy
약,approximately
약간,a little
약국,pharmacy
약속,promise
약속하다,Promise
약수,measure
약점,Weakness
약품,medicine
약하다,weak
약해지다,become weak
약혼녀,fiancee
약혼자,fiance
얄밉다,It's disgusting
얇다,thin
양,sheep
양2,Sheep 2
양25,Sheep 25
양국,both countries
양념,seasoning
양력,solar calendar
양말,socks
양배추,cabbage
양보,concession
양보하다,yield
양복,suit
양상추,lettuce
양식,form
양심,Conscience
양옆,both sides
양주,liquor
양쪽,both side
양파,onion
얕다,shallow
얘,Boy
얘기,talk
얘기하다,talk
어,uh
어기다,violate
어깨,shoulder
어느,any
어느덧,Before you know it
어느새,Suddenly
어두워지다,get dark
어둠,darkness
어둡다,dark
어디,where
어때,how
어떠하다,How is it?
어떡하다,What should I do?
어떤,which
어떻다,how
어려움,difficulty
어려워지다,become difficult
어렵다,difficult
어른,Adult
어리다,young
어리석다,stupid
어린아이,Young kid
어린애,child
어린이,children
어린이날,Children's Day
어머,oh
어머니,mother
어머님,mother
어색하다,It is awkward
어서,hurry
어울리다,comport
어저께,yesterday
어제,yesterday
어젯밤,yesternight
어지럽다,dizzy
어째서,why
어쨌든,anyway
어쩌다,somehow
어쩌다가,What happened
어쩌면,perhaps
어쩐지,no wonder
어쩜,How
어찌,How
어찌나,How
어찌하다,What to do
억,100 million
억울하다,It is unfair
언니,sister
언덕,Hill
언론,Press
언어,language
언제,when
언제나,always
언젠가,someday
얹다,put on
얻다,get
얻어먹다,get it
얼굴,face
얼다,freeze
얼른,hurry
얼리다,freeze
얼마,how much
얼마간,somewhat
얼마나,how much
얼음,ice
얼핏,At first glance
엄격하다,strict
엄마,mom
엄숙하다,solemn
엄청나다,tremendous
업다,up
업무,work
업종,Sectors
업체,company
없다,does not exist
없애다,Delete
없어지다,Run out
없이,without
엇갈리다,diverge
엉덩이,hip
엉뚱하다,It's weird
엉망,mess
엉터리,nonsense
엊그제,Yesterday
엎드리다,kneel down
에,to
에너지,energy
에어컨,air conditioner
엔,n
엔진,engine
엘리베이터,elevator
여,female
여가,Leisure
여간,Anyway
여건,conditions
여겨지다,be considered
여고생,High school girls
여관,motel
여군,female soldier
여권,passport
여기,here
여기다,It's here
여기저기,Here and there
여대생,female college student
여덟,eight
여동생,younger sister
여든,eighty
여러,several
여러분,everyone
여럿,many
여론,public opinion
여름,summer
여름철,summer season
여보,honey
여보세요,hello
여섯,six
여성,female
여왕,Queen
여우,fox
여유,spare
여인,woman
여자,female
여전하다,It's still the same
여전히,still
여직원,female employee
여쭈다,ask
여학생,female student
여행,travel
여행사,Travel agency
여행하다,travel
역,station
역사,history
역사가,historian
역사상,in history
역사적,classic
역사학,history
역시,also
역할,role
연간,yearly
연결,connection
연결되다,connected
연결하다,Interlink
연관,Relation
연구,research
연구소,laboratory
연구실,Lab
연구원,researcher
연구자,researcher
연구하다,Research
연극,theater
연기,performance
연기되다,postponed
연기자,actor
연기하다,Adjourn
연두색,light green
연락,Communication
연락처,contact
연락하다,contact
연령,age
연말,Year-end
연상하다,reminiscent
연설,speech
연세,age
연속,continuity
연습,practice
연습하다,Practice
연애,romantic relationship
연예인,celebrity
연인,lover
연장,extension
연주,play
연출,Production
연출하다,direct
연필,pencil
연하다,soft
연합,Union
연휴,Holidays
열,heat
열기,Heat
열다,open
열리다,open
열매,Fruit
열쇠,key
열심히,try hard
열정,Passion
열중하다,be absorbed
열차,train
열흘,ten days
엷다,thin
염려,worry
염려하다,worry
엽서,Postcard
엿보다,watch for
영,zero
영국,uk
영남,Yeongnam
영상,video
영양,nutrition
영어,english
영업,sales
영역,area
영웅,hero
영원하다,forever
영원히,forever
영하,below zero
영향,effect
영향력,Influence
영혼,soul
영화,movie
영화관,Cinema
영화배우,Actor
영화제,film festival
옆,side
옆구리,side
옆방,next room
옆집,next door
예,yes
예감,presentiment
예고하다,predict
예금,Deposit
예매하다,Reserve
예방,prevention
예방하다,prevent
예보,forecast
예비,Spare
예쁘다,pretty
예산,budget
예상,expectation
예상되다,expected
예상하다,expect
예선,tryout
예순,sixty
예술,art
예술가,artist
예술적,artistic
예습,Preview
예습하다,preview
예식장,wedding hall
예약,reservation
예약하다,reserve
예외,exception
예의,manners
예전,Previous
예절,etiquette
예정,expected
예정되다,scheduled
예측하다,predict
예컨대,for example
옛,ancient
옛날,A long ago
옛날이야기,old story
오,oh
오가다,come and go
오늘,today
오늘날,Today
오다,come
오락,game
오래,long time
오래간만,long time no see
오래도록,For a long time
오래되다,Long time no see
오래전,lang syne
오랜,long-time
오랜만,Long time no see
오랫동안,for a long time
오렌지,orange
오로지,only
오르내리다,go up and down
오르다,climb
오른발,right foot
오른손,right hand
오른쪽,right
오리,duck
오븐,Oven
오빠,brother
오십,fifty
오염,pollution
오염되다,polluted
오월,May
오이,cucumber
오전,morning
오직,Only
오징어,calamari
오페라,opera
오피스텔,Officetels
오해,misunderstanding
오후,afternoon
오히려,rather
옥상,rooftop
옥수수,corner
온,on
온갖,all kinds
온도,temperature
온돌,On-dol
온라인,online
온몸,whole body
온종일,all day
온통,all
올,all
올가을,this fall
올라가다,Go up
올라서다,stand up
올라오다,come up
올라타다,get on
올려놓다,put on
올려다보다,look up
올리다,raise
올림픽,Olympic
올바르다,correct
올여름,this summer
올해,this year
옮기다,move
옳다,right
옷,clothes
옷차림,getup
와,and
와이셔츠,dress shirt
와인,wine
완벽하다,It is perfect
완성,complete
완성되다,complete
완성하다,to complete
완전,very
완전하다,complete
완전히,completely
왕,king
왕비,Queen
왕자,Prince
왜,why
왜냐하면,because
왠지,Somehow
외,except
외갓집,mother's house
외과,surgery
외교,diplomacy
외교관,diplomat
외국,foreign country
외국어,Foreign language
외국인,foreigner
외다,cry out
외로움,loneliness
외롭다,lonely
외면하다,turn away
외모,appearance
외부,Out
외삼촌,uncle
외아들,only son
외우다,memorize
외제,foreign product
외출,outing
외출하다,go out
외치다,shout out
외침,shout
외할머니,maternal grandmother
외할아버지,My mother's father
왼발,left foot
왼손,left hand
왼쪽,left
요,yo. this
요구,request
요구되다,required
요구하다,request
요금,fee
요리,cooking
요리사,chef
요리하다,Cook
요새,these days
요약하다,summarize
요일,Day of the week
요즈음,these days
요즘,recently
요청,request
요청하다,request
욕,swear word
욕실,bathroom
욕심,greed
욕하다,swear
용,dragon
용감하다,brave
용기,courage
용도,Usage
용돈,Pin money
용서,Forgiveness
용서하다,Forgive
용어,Terms
우려,concern
우리,we
우리나라,our country
우리말,Korean
우산,umbrella
우선,first of all
우수하다,great
우습다,It's funny
우승,Championship
우승하다,win
우아하다,elegant
우연히,by chance
우울하다,Depressed
우유,milk
우정,friendship
우주,universe
우체국,post office
우편,post
우표,stamp
운,luck
